id;REF;DOI;ORDER;FAMILY;GENUS;SPECIES;STAGE;TEMP;DEVRATE;IDPDF;CONTRIB;Comments;modif.NCBI.GBIF;region
3422;Khadioli et al. 2014;10.1017/S0007485314000601;Lepidoptera;Crambidae;Chilo;partellus;egg;18, 20, 25, 30, 32, 35;1/13.8, 1/11.4, 1/6.4, 1/4.9, 1/4.4, 1/4.8;id2577;BA;;;Kenya
3423;Khadioli et al. 2014;10.1017/S0007485314000601;Lepidoptera;Crambidae;Chilo;partellus;larva;18, 20, 25, 30, 32, 35;1/82.0, 1/59.4, 1/32.8, 1/21.9, 1/24.2, 1/28.3;id2577;BA;;;Kenya
3424;Khadioli et al. 2014;10.1017/S0007485314000601;Lepidoptera;Crambidae;Chilo;partellus;pupa;18, 20, 25, 30, 32, 35;1/21.4, 1/16.6, 1/9.3, 1/7.0, 1/6.8, 1/7.7;id2577;BA;;;Kenya
4784;Mbapila et al. 2002;10.1017/S1742758400015022;Lepidoptera;Crambidae;Chilo;partellus;egg;22, 25, 28, 31;1/7.37, 1/5.43, 1/4.42, 1/4.24;;BA;natural diet;;Kenya
4785;Mbapila et al. 2002;10.1017/S1742758400015022;Lepidoptera;Crambidae;Chilo;partellus;larva;22, 25, 28, 31;1/40.73, 1/35.80, 1/30.27, 1/20.98;;BA;natural diet;;Kenya
4786;Mbapila et al. 2002;10.1017/S1742758400015022;Lepidoptera;Crambidae;Chilo;partellus;pupa;22, 25, 28, 31;1/11.90, 1/8.58, 1/8.65, 1/6.94;;BA;natural diet;;Kenya
4787;Mbapila et al. 2002;10.1017/S1742758400015022;Lepidoptera;Crambidae;Chilo;partellus;all;22, 25, 28, 31;1/58.96, 1/49.81, 4/42.83, 1/31.73;;BA;natural diet;;Kenya
4788;Mbapila et al. 2002;10.1017/S1742758400015022;Lepidoptera;Crambidae;Chilo;partellus;larva;22, 25, 28, 31;1/40.89, 1/27.00, 1/23.66, 1/22.68;;BA;artificial diet;;Kenya
4789;Mbapila et al. 2002;10.1017/S1742758400015022;Lepidoptera;Crambidae;Chilo;partellus;all;22, 25, 28, 31;1/59.74, 1/40.78, 4/36.26, 1/33.55;;BA;artificial diet;;Kenya
3483;Khadioli et al. 2014;10.1111/aab.12157;Lepidoptera;Noctuidae;Busseola;fusca;egg;15, 18, 20, 25, 28, 30;1/19.12, 1/12.86, 1/9.67, 1/7.20, 1/7.52, 1/6.54;id2583;BA;;;Kenya
3484;Khadioli et al. 2014;10.1111/aab.12157;Lepidoptera;Noctuidae;Busseola;fusca;larva;15, 18, 20, 25, 28, 30;1/167.78, 1/96.68, 1/90.12, 1/50.69, 1/41.28, 1/58.12;id2583;BA;;;Kenya
3485;Khadioli et al. 2014;10.1111/aab.12157;Lepidoptera;Noctuidae;Busseola;fusca;pupa;15, 18, 20, 25, 28, 30;1/36.95, 1/27.72, 1/21.31, 1/14.68, 1/13.94, 1/16.60;id2583;BA;;;Kenya
3486;Khadioli et al. 2014;10.1111/aab.12157;Lepidoptera;Noctuidae;Busseola;fusca;all;15, 18, 20, 25, 28, 30;1/223.85, 1/137.26, 1/121.10, 1/72.56, 1/62.74, 1/81.26;id2583;BA;;;Kenya
3609;Glatz et al. 2017;10.1017/S0007485316000572;Lepidoptera;Noctuidae;Busseola;fusca;egg;15, 18, 20, 26, 30;1/22.5, 1/12.8, 1/10.2, 1/6.5, 1/5.9;id2622;BA;;;South Africa
3610;Glatz et al. 2017;10.1017/S0007485316000572;Lepidoptera;Noctuidae;Busseola;fusca;larva 1;15, 18, 20, 26, 30;1/10.6, 1/6.8, 1/6.1, 1/3.3, 1/3.2;id2622;BA;;;South Africa
