"","species","stage","nDelta10","nDelta2","nCTmin0","nCTmax50","isMinAICfiltered"
"1","Chilo partellus","egg",0,4,1,2,"no"
"2","Chilo partellus","larva",0,6,1,0,"no"
"3","Chilo partellus","pupa",0,4,0,0,"no"
"4","Busseola fusca","egg",0,6,0,7,"no"
"5","Busseola fusca","larva",0,6,3,0,"no"
"6","Busseola fusca","pupa",0,4,3,0,"no"
"7","Ostrinia nubilalis","egg",0,4,0,3,"no"
"8","Ostrinia nubilalis","larva",0,5,0,8,"yes"
"9","Ostrinia nubilalis","pupa",0,6,1,0,"no"
"10","Sesamia nonagrioides","egg",0,4,1,2,"no"
"11","Sesamia nonagrioides","larva",0,4,1,1,"no"
"12","Sesamia nonagrioides","pupa",0,4,2,2,"no"
