"","stage","sp","modName","parName","Estimate","Std..Error"
"1","egg","Chilo partellus","analytis_77","aa",3.54498156737414e-12,1.24420366619372e-09
"2","egg","Chilo partellus","analytis_77","bb",4.68706926922792,51.0013313678709
"3","egg","Chilo partellus","analytis_77","cc",3.02516081069889,44.6423586956343
"4","egg","Chilo partellus","analytis_77","Tmin",1.54400153603945,135.455007270736
"5","egg","Chilo partellus","analytis_77","Tmax",50.7654180205186,160.184940195101
"6","egg","Chilo partellus","ratkowsky_83","cc",0.0380048616054426,0.0390904316702465
"7","egg","Chilo partellus","ratkowsky_83","T1",9.55491144079268,4.21280743533415
"8","egg","Chilo partellus","ratkowsky_83","T2",45.6015047523051,6.64556092518113
"9","egg","Chilo partellus","ratkowsky_83","k",0.0601911389446749,0.108286877623949
"10","egg","Chilo partellus","hilbertLogan_83","phi",0.983259034046018,53.7668550184894
"11","egg","Chilo partellus","hilbertLogan_83","aa",29.1414718685741,863.907786524278
"12","egg","Chilo partellus","hilbertLogan_83","Tb",8.72494675420766,154.033582181676
"13","egg","Chilo partellus","hilbertLogan_83","Tmax",36.878984220681,469.163552798528
"14","egg","Chilo partellus","hilbertLogan_83","deltaT",7.36377428906179,214.582167337041
"15","egg","Chilo partellus","beta_95","mu",-470.443791266719,90614.8060202637
"16","egg","Chilo partellus","beta_95","Tb",-45.2505318256103,4659.51091467145
"17","egg","Chilo partellus","beta_95","Tc",136.903143620274,11822.3569724958
"18","egg","Chilo partellus","beta_95","aa",43.5899608307983,6220.46584094605
"19","egg","Chilo partellus","beta_95","bb",60.0618242149378,11646.3046930327
"20","egg","Chilo partellus","beta_16","rm",0.228000662569766,0.00839266422961061
"21","egg","Chilo partellus","beta_16","T1",9.20329752418406,9.12226722756699
"22","egg","Chilo partellus","beta_16","T2",41.832740616564,3.32950410929211
"23","egg","Chilo partellus","beta_16","Tm",31.6469222161955,0.736023650123595
"24","egg","Chilo partellus","briere1_99","aa",0.000147352621915308,2.01445615524421e-05
"25","egg","Chilo partellus","briere1_99","Tmin",12.1220431587626,1.42276526982211
"26","egg","Chilo partellus","briere1_99","Tmax",38.0620954339162,0.806861046960596
"27","egg","Chilo partellus","briere2_99","aa",9.06254295223878e-05,0.000148741836355522
"28","egg","Chilo partellus","briere2_99","Tmin",13.1438685461018,2.61636828607463
"29","egg","Chilo partellus","briere2_99","Tmax",39.9030234718077,6.00848627514532
"30","egg","Chilo partellus","briere2_99","bb",1.44700556073967,1.22520157814817
"31","egg","Chilo partellus","kontodimas_04","aa",4.7312985043681e-05,1.15864543836425e-05
"32","egg","Chilo partellus","kontodimas_04","Tmin",10.3892964807507,1.17686888749785
"33","egg","Chilo partellus","kontodimas_04","Tmax",42.2792662117397,1.48730599997074
"34","egg","Chilo partellus","shi_11","cc",223.360336112665,1332390.72939399
"35","egg","Chilo partellus","shi_11","k1",7.83421368724768e-05,0.467445357901811
"36","egg","Chilo partellus","shi_11","T1",14.1001158410505,6.26674480710415
"37","egg","Chilo partellus","shi_11","k2",0.156784279077472,1.14801394979949
"38","egg","Chilo partellus","shi_11","T2",40.3656665214772,8.9713422405807
"39","egg","Chilo partellus","perf2_11","cc",0.017493969626881,0.00640649977393259
"40","egg","Chilo partellus","perf2_11","T1",14.0991071411103,1.72206746346172
"41","egg","Chilo partellus","perf2_11","k",0.156600728523885,0.156057067477234
"42","egg","Chilo partellus","perf2_11","T2",40.3668402625128,3.34361290109717
"43","egg","Chilo partellus","regniere_12","phi",0.120466493748704,13.4018319982739
"44","egg","Chilo partellus","regniere_12","bb",0.165045655096592,4.23410337041998
"45","egg","Chilo partellus","regniere_12","Tb",13.30482994873,21.0775636650894
"46","egg","Chilo partellus","regniere_12","Tm",44.3732797534147,9401.91025189353
"47","egg","Chilo partellus","regniere_12","deltab",196.199567982817,399016.683784693
"48","egg","Chilo partellus","regniere_12","deltam",7.52370254533942,205.663038597416
"49","larva","Chilo partellus","analytis_77","aa",8.8826415890818e-05,0.00150956265311547
"50","larva","Chilo partellus","analytis_77","bb",1.83337497604346,4.24933100697012
"51","larva","Chilo partellus","analytis_77","cc",0.364444157697082,1.05349367144061
"52","larva","Chilo partellus","analytis_77","Tmin",9.66860356566729,23.4517431159876
"53","larva","Chilo partellus","analytis_77","Tmax",36.1714146494888,4.89340457551605
"54","larva","Chilo partellus","ratkowsky_83","cc",0.010018512280955,0.00323619140513656
"55","larva","Chilo partellus","ratkowsky_83","T1",6.52239868970164,4.43613356197078
"56","larva","Chilo partellus","ratkowsky_83","T2",39.8724132503646,2.33175444881175
"57","larva","Chilo partellus","ratkowsky_83","k",0.219978452730149,0.159058204294011
"58","larva","Chilo partellus","hilbertLogan_83","phi",0.107833351041837,0.265632124557635
"59","larva","Chilo partellus","hilbertLogan_83","aa",24.0154961453916,52.823191849352
