"","species","stage","eqName","nParam","AIC","CTmin","CTmax"
"1","Chilo partellus","egg","analytis_77",5,-77.392,1.544,50.765
"2","Chilo partellus","egg","ratkowsky_83",4,-79.295,9.555,45.602
"3","Chilo partellus","egg","hilbertLogan_83",5,-77.219,8.725,36.879
"4","Chilo partellus","egg","beta_95",5,-77.447,-45.251,136.903
"5","Chilo partellus","egg","beta_16",4,-79.269,9.203,41.833
"6","Chilo partellus","egg","briere1_99",3,-80.833,12.122,38.062
"7","Chilo partellus","egg","briere2_99",4,-79.115,13.144,39.903
"8","Chilo partellus","egg","kontodimas_04",3,-81.231,10.389,42.279
"9","Chilo partellus","egg","shi_11",5,-76.912,14.1,40.366
"10","Chilo partellus","egg","perf2_11",4,-78.912,14.099,40.367
"11","Chilo partellus","egg","regniere_12",6,-75.129,13.305,44.373
"12","Chilo partellus","larva","analytis_77",5,-150.719,9.669,36.171
"13","Chilo partellus","larva","ratkowsky_83",4,-152.719,6.522,39.872
"14","Chilo partellus","larva","hilbertLogan_83",5,-150.819,9.321,29.431
"15","Chilo partellus","larva","beta_95",5,-150.719,9.669,36.171
"16","Chilo partellus","larva","beta_16",4,-152.588,-8.405,38.504
"17","Chilo partellus","larva","briere1_99",3,-154.297,13.54,37.14
"18","Chilo partellus","larva","briere2_99",4,-152.737,12.238,36.121
"19","Chilo partellus","larva","kontodimas_04",3,-152.823,11.68,40.771
"20","Chilo partellus","larva","shi_11",5,-150.91,13.777,37.48
"21","Chilo partellus","larva","perf2_11",4,-152.91,13.771,37.482
"22","Chilo partellus","larva","regniere_12",6,-148.911,13.653,37.533
"23","Chilo partellus","pupa","analytis_77",5,-93,15.281,35.033
"24","Chilo partellus","pupa","ratkowsky_83",4,-93.036,6.779,43.863
"25","Chilo partellus","pupa","hilbertLogan_83",5,-93.428,10.829,24.905
"26","Chilo partellus","pupa","beta_95",5,-93,15.281,35.033
"27","Chilo partellus","pupa","beta_16",4,-93.067,4.509,41.499
"28","Chilo partellus","pupa","briere1_99",3,-95.641,11.425,38.326
"29","Chilo partellus","pupa","briere2_99",4,-93.688,10.928,37.73
"30","Chilo partellus","pupa","kontodimas_04",3,-94.697,9.676,43.025
"31","Chilo partellus","pupa","shi_11",5,-93.269,14.436,36.124
"32","Chilo partellus","pupa","perf2_11",4,-93.923,12.841,39.184
"33","Chilo partellus","pupa","regniere_12",6,-91.272,14.479,36.158
"34","Busseola fusca","egg","analytis_77",5,-94.426,9.498,93.699
"35","Busseola fusca","egg","ratkowsky_83",4,-96.117,7.012,54.608
"36","Busseola fusca","egg","hilbertLogan_83",NA,NA,NA,NA
"37","Busseola fusca","egg","beta_95",5,-94.475,8.64,624.704
"38","Busseola fusca","egg","beta_16",4,-96.323,10.808,52.146
"39","Busseola fusca","egg","briere1_99",3,-96.745,6.905,36.017
"40","Busseola fusca","egg","briere2_99",4,-96.405,10.616,108.893
"41","Busseola fusca","egg","kontodimas_04",3,-97.589,5.864,42.153
"42","Busseola fusca","egg","shi_11",NA,NA,NA,NA
"43","Busseola fusca","egg","perf2_11",4,-96.289,11.385,54.346
"44","Busseola fusca","egg","regniere_12",6,-92.303,11.338,63.534
"45","Busseola fusca","larva","analytis_77",5,-107.37,-26.333,33.193
"46","Busseola fusca","larva","ratkowsky_83",4,-109.377,1.79,34.551
"47","Busseola fusca","larva","hilbertLogan_83",NA,NA,NA,NA
"48","Busseola fusca","larva","beta_95",5,-107.381,-514.109,34.855
"49","Busseola fusca","larva","beta_16",4,-109.376,-76.798,33.603
"50","Busseola fusca","larva","briere1_99",3,-111.192,9.197,33.205
"51","Busseola fusca","larva","briere2_99",4,-109.307,6.789,31.067
"52","Busseola fusca","larva","kontodimas_04",3,-111.027,7.681,37.639
"53","Busseola fusca","larva","shi_11",5,-107.302,9.935,32.537
"54","Busseola fusca","larva","perf2_11",4,-109.302,9.933,32.538
"55","Busseola fusca","larva","regniere_12",6,-105.382,14.275,33.291
"56","Busseola fusca","pupa","analytis_77",5,-113.152,-14.741,37.25
"57","Busseola fusca","pupa","ratkowsky_83",4,-112.439,7.86,48.452
"58","Busseola fusca","pupa","hilbertLogan_83",NA,NA,NA,NA
"59","Busseola fusca","pupa","beta_95",5,-113.211,-178.571,45.482
"60","Busseola fusca","pupa","beta_16",4,-115.116,-8.157,35.332
"61","Busseola fusca","pupa","briere1_99",3,-116.646,7.983,33.537
"62","Busseola fusca","pupa","briere2_99",4,-114.852,6.743,32.231
"63","Busseola fusca","pupa","kontodimas_04",3,-115.766,6.827,38.221
"64","Busseola fusca","pupa","shi_11",5,-112.611,9.533,33.663
"65","Busseola fusca","pupa","perf2_11",4,-114.611,9.532,33.664
"66","Busseola fusca","pupa","regniere_12",6,-110.978,7.316,34.607
"67","Ostrinia nubilalis","egg","analytis_77",5,-137.668,5.388,69.358
"68","Ostrinia nubilalis","egg","ratkowsky_83",4,-139.56,9.252,52.889
"69","Ostrinia nubilalis","egg","hilbertLogan_83",5,-137.472,8.068,39.778
"70","Ostrinia nubilalis","egg","beta_95",5,-137.73,0,223.613
"71","Ostrinia nubilalis","egg","beta_16",4,-139.473,9.937,45.517
"72","Ostrinia nubilalis","egg","briere1_99",3,-140.681,10.38,39.165
"73","Ostrinia nubilalis","egg","briere2_99",4,-139.398,11.986,45.642
"74","Ostrinia nubilalis","egg","kontodimas_04",3,-141.412,8.638,44.485
"75","Ostrinia nubilalis","egg","shi_11",5,-137.094,12.834,43.157
"76","Ostrinia nubilalis","egg","perf2_11",4,-139.094,12.834,43.159
"77","Ostrinia nubilalis","egg","regniere_12",6,-135.282,12.43,48.23
"78","Ostrinia nubilalis","larva","analytis_77",5,-378.286,6.561,35
"79","Ostrinia nubilalis","larva","ratkowsky_83",4,-381.692,7.002,73.323
"80","Ostrinia nubilalis","larva","hilbertLogan_83",5,-379.963,8.035,96.297
"81","Ostrinia nubilalis","larva","beta_95",5,-379.836,8.22,1047.73
"82","Ostrinia nubilalis","larva","beta_16",4,-381.715,9.706,66.415
"83","Ostrinia nubilalis","larva","briere1_99",3,-383.277,7.624,44.553
"84","Ostrinia nubilalis","larva","briere2_99",4,-381.714,10.391,145.525
"85","Ostrinia nubilalis","larva","kontodimas_04",3,-383.525,6.045,53.969
"86","Ostrinia nubilalis","larva","shi_11",5,-379.485,11.387,66.144
"87","Ostrinia nubilalis","larva","perf2_11",4,-381.486,11.382,66.016
"88","Ostrinia nubilalis","larva","regniere_12",NA,NA,NA,NA
"89","Ostrinia nubilalis","pupa","analytis_77",5,-305.688,10.334,35.158
